t,n_rel,C1,C2,C3,C4,C5,C6,I,X,T_f,T_c
0.0,0.0625,45.74092741935484,123.4118852459016,30.349099099099092,22.55502491694352,1.7338267543859651,0.23982558139534885,1.0689655172413794e15,9.343065693430659e14,450.0,520.0
0.0006104847112286811,0.09990893064052496,45.741025254977394,123.41253451634634,30.34968017207705,22.55619591289297,1.7341676207241477,0.23995002571013985,1.0689654985059809e15,9.343065762205052e14,450.08255041554054,519.9626596361966
0.0008783561001727851,0.12073067140989932,45.741140879743085,123.41330183946431,30.35036688935487,22.5575797661836,1.7345703961605408,0.24009702985921247,1.0689654903162149e15,9.343065792268262e14,450.12001316472464,519.9463082422446
0.0012715715887738036,0.1574304885726449,45.74141179106938,123.41509968957395,30.351975860611322,22.560822033577118,1.7355139590155753,0.24044131954941073,1.0689654783374461e15,9.343065836240241e14,450.1767434750297,519.9223425730881
0.0016647870773748219,0.20299607842979056,45.741828909679874,123.41786780826384,30.354453135918448,22.565813894224274,1.7369665049640983,0.24097117999013173,1.0689654664211082e15,9.343065879983045e14,450.23599522451514,519.8984215547664
0.00205800256597584,0.2595701423203742,45.74242755688705,123.42184059289819,30.358008464881433,22.572977911875178,1.7390508715029342,0.24173132144926257,1.0689654545822836e15,9.343065923441309e14,450.2983892621651,519.8745461112236
0.0024512180545768585,0.32981324953167596,45.74325159057698,123.42730909078529,30.36290229009967,22.582838776941085,1.7419195839865975,0.24277726008706282,1.0689654428397001e15,9.343065966546288e14,450.3646964711683,519.850717403824
0.0028444335431778768,0.41702895700819326,45.74435546834046,123.43463469041566,30.369457998720904,22.59604798860935,1.7457620306303245,0.2441779295391122,1.0689654312166114e15,9.343066009212621e14,450.43587402941387,519.8269368887127
0.003237649031778895,0.5253191224855704,45.74580680901037,123.44426612019647,30.378077133696003,22.613414499602982,1.7508133708316538,0.24601892339783346,1.0689654197418912e15,9.343066051334319e14,450.51311042969974,519.8032063880383
0.0036308645203799133,0.6597766744878314,45.74768957284245,123.45676055259385,30.389258278742634,22.635942762032677,1.7573655949611964,0.24840652079169204,1.068965408451391e15,9.343066092779772e14,450.597881372869,519.7795281783888
0.004024080008980932,0.8267248368434235,45.750108009480556,123.47280980340415,30.40362050266567,22.664879958575774,1.7657812542914129,0.2514726838475305,1.0689653973896262e15,9.343066133385579e14,450.69201915507625,519.7559051005906
0.00441729549758195,1.0340139463289888,45.75319155864029,123.49327285340262,30.42193246123261,22.70177463142216,1.7765105042088545,0.2553812611279735,1.0689653866118685e15,9.343066172948844e14,450.7977987994547,519.7323406960353
0.004810510986182969,1.2913896410862493,45.757100932736506,123.51921621354344,30.445148517820233,22.748549451304292,1.7901122578867819,0.26033568719918615,1.0689653761867432e15,9.343066211217655e14,450.91804496087843,519.7088393759279
0.005203726474783988,1.6109494441494863,45.762035665437615,123.55196401826205,30.474453569214578,22.807591524008938,1.8072804380216063,0.26658853779390834,1.0689653661994526e15,9.343066247879251e14,451.05626459486797,519.6854066313948
0.0055969419633850066,2.0077087509193707,45.768243477746466,123.5931601801469,30.511318664477585,22.881864440693736,1.8288765493834074,0.2744533856203184,1.068965356755775e15,9.343066282545336e14,451.2168115700372,519.6620492942963
0.005990157451986025,2.500302104209823,45.776031896582296,123.64484549253409,30.557569999898885,22.97504727576975,1.8559700848749598,0.2843195073959953,1.0689653479870266e15,9.343066314733872e14,451.405090868748,519.6387758609426
0.006383372940587044,3.111851580863323,45.785782663453915,123.70955324754898,30.61547448241325,23.09170696372957,1.8898886346458916,0.29667012256486114,1.0689653400562136e15,9.34306634384649e14,451.62781182403046,519.6155968938305
0.006776588429188063,3.8710413159942827,45.797969596816756,123.79042777329154,30.687845802107027,23.237511993703745,1.9322800059866676,0.31210500362941096,1.0689653331656601e15,9.343066369140498e14,451.89330205518905,519.5925255201173
0.0071698039177890815,4.813445865039287,45.81318072597195,123.89137131758623,30.778175870507912,23.41949720603247,1.9851891981793421,0.33136849326668133,1.0689653275664581e15,9.343066389694175e14,452.2118964754916,519.5695780499955
0.0075630194063901,5.9831704605897045,45.832145702523995,124.0172259543647,30.89079759869284,23.646391726110142,2.051153730785818,0.3553842015154602,1.0689653235701744e15,9.343066404363819e14,452.59641905184196,519.5467747435922
0.007956234894991119,7.43487344452968,45.85576972381299,124.17399870443616,31.03108634554301,23.929024803110906,2.133321618068451,0.3852979453461079,1.068965321563334e15,9.343066411730561e14,453.0627790098252,519.524140761744
