t,n_rel,C1,C2,C3,C4,C5,C6,I,X,T_f,T_c
6.00638118054928,190704.6998400465,1.2494839968733618e6,8.180524185650845e6,6.908519568310475e6,1.2285960145028196e7,2.3536302102483427e6,487718.1134589241,1.6072952781711665e15,7.577931522117311e14,1.0923344947238006e7,2.4277571655922346e6
6.006440631798177,188718.6965924285,1.2495854451982346e6,8.181188712674672e6,6.909081989165405e6,1.2286965612504855e7,2.3538274297270966e6,487761.12170732795,1.6073389868843812e15,7.577804062524099e14,1.0924265892027909e7,2.4279465849973853e6
6.006501989963784,186358.28100629288,1.2496889320379763e6,8.181866487558564e6,6.909655227274277e6,1.2287988764033448e7,2.3540267257477962e6,487803.9546630968,1.6073835785983115e15,7.577674030575519e14,1.0925194869296359e7,2.428142098766189e6
6.006573336560744,183406.40046052166,1.2498075385699994e6,8.182643135956495e6,6.910311521651454e6,1.2289157781417482e7,2.354252430291087e6,487851.55297891406,1.6074346920442915e15,7.577524984112228e14,1.0926244532956904e7,2.428369462233499e6
6.006644683157704,180450.76608259577,1.249924220352533e6,8.183407010031469e6,6.910956379649121e6,1.2290303736521745e7,2.3544714096524785e6,487896.6917881862,1.607484983671879e15,7.577378337441298e14,1.0927260162931362e7,2.428596847583544e6
6.0067160297546645,177706.70921250354,1.2500390458816995e6,8.184158564364964e6,6.911590208172238e6,1.2291427449693369e7,2.3546839030652735e6,487939.4587876024,1.607534482728012e15,7.577234005121815e14,1.0928242971037058e7,2.428824252712785e6
6.006787376351625,175361.0500922924,1.250152214451641e6,8.184899121560524e6,6.912214190981084e6,1.229253130685877e7,2.3548906055360474e6,487980.1081070872,1.607583274310075e15,7.577091738861754e14,1.092919647487535e7,2.4290516756673893e6
6.006862291735872,173490.02340884917,1.2502695992488412e6,8.185667134417486e6,6.912860801499134e6,1.2293673065017033e7,2.3551025959441564e6,488020.9432068099,1.6076338897104735e15,7.576944158011789e14,1.0930172111426145e7,2.4292904917765553e6
6.006937207120119,172346.80027064623,1.2503859537567159e6,8.186428308873656e6,6.913501288018139e6,1.2294802466627676e7,2.3553109783898974e6,488060.45811991324,1.6076840652264e15,7.576797863010134e14,1.0931129489704512e7,2.4295293242279864e6
6.007012122504366,172003.1767756514,1.2505018001494808e6,8.187186110273971e6,6.914138751970436e6,1.2295925762158485e7,2.3555175728004193e6,488099.31765475345,1.6077340238245002e15,7.57665220364196e14,1.0932077817876695e7,2.429768172118826e6
6.0070795226798825,172394.60538180792,1.250606047970655e6,8.187868041679947e6,6.914712398780934e6,1.229693662404084e7,2.3557035067485184e6,488134.300448357,1.607778980497283e15,7.576521130552506e14,1.0932931335497977e7,2.429983072705152e6
6.007146922855399,173428.25517345627,1.250710733493223e6,8.188552877006382e6,6.915288641490891e6,1.2297952705568174e7,2.3558909519880735e6,488169.83328309323,1.6078241241045365e15,7.576389514934991e14,1.0933792496000523e7,2.4301979857966327e6
6.007214323030915,175048.86704242468,1.2508162343477812e6,8.189243122342138e6,6.915869722972369e6,1.2298978526718158e7,2.3560812243389e6,488206.3966193351,1.6078696158937085e15,7.576256886678466e14,1.0934667956045091e7,2.4304129120409656e6
6.007284363178608,177259.4730366989,1.250927088838292e6,8.189968507824505e6,6.91648081439801e6,1.2300059125542289e7,2.3562831901629353e6,488245.938595493,1.6079174110708125e15,7.576117545695829e14,1.0935599157308701e7,2.430636271683587e6
6.0073584873427786,180033.49978007365,1.2510460903870948e6,8.1907473594212495e6,6.917137530784355e6,1.2301222856998725e7,2.3565027807102897e6,488289.91929683293,1.6079687119226492e15,7.575967987336225e14,1.093661423788368e7,2.4308726736921854e6
6.00741565678677,182354.43614509705,1.251139205020795e6,8.191356905312499e6,6.917651946472148e6,1.2302136339568099e7,2.356676775421274e6,488325.5296293668,1.6080088476530552e15,7.575850981016226e14,1.09374205642752e7,2.4310550166966026e6
6.007477264445007,184899.61154401826,1.2512409141074254e6,8.192022834558124e6,6.9182144059065925e6,1.2303137068580966e7,2.3568690245258594e6,488365.6357521786,1.6080526824157248e15,7.575723193185961e14,1.0938313496866364e7,2.4312515306169363e6
6.007538872103244,187351.8035517797,1.251344026831843e6,8.192698078113631e6,6.918785198688474e6,1.2304154580935298e7,2.357066151693571e6,488407.5208194483,1.6080971165611915e15,7.575593660325095e14,1.0939231101749213e7,2.4314480615598396e6
6.007600479761481,189567.4911055592,1.2514484509417755e6,8.193382023749302e6,6.91936377684601e6,1.2305187772109345e7,2.3572678351099105e6,488451.06709996995,1.6081421106984335e15,7.575462497370531e14,1.0940171749872774e7,2.431644610814909e6
6.007662087419718,191411.42946749914,1.2515540157701555e6,8.194073538847293e6,6.919949126675813e6,1.2306234599008095e7,2.3574734797286396e6,488496.0570929338,1.6081875919534838e15,7.575329916863118e14,1.0941132429915493e7,2.4318411795461024e6
6.007723695077956,192767.31123645714,1.2516604798322252e6,8.194771020819358e6,6.920539813867807e6,1.2307292170914285e7,2.357682243764723e6,488542.18321461865,1.6082334572133495e15,7.575196219481114e14,1.0942108882370431e7,2.432037768720391e6
6.007788644503824,193572.6666790546,1.2517733624623932e6,8.195510606886757e6,6.921166360671837e6,1.2308414792644078e7,2.357904559155606e6,488591.62132042303,1.6082820852116765e15,7.57505447150773e14,1.0943149558492571e7,2.4322450443417015e6
